"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","예결산구분","세입세출구분","인적자원운용","학생복지/교육격차해소","기본적교육활동","선택적교육활동","교육활동지원","학교일반운영","학교시설확충","학교재무활동"
"전라남도교육청","전라남도화순교육지원청","전라남도 화순군","S140002274","동복초등학교","02","공립","N","","복식부기","예산세출","17270000","91623000","42490000","6500000","77419000","118188000","0","1473000"
"전라남도교육청","전라남도화순교육지원청","전라남도 화순군","S140002277","사평초등학교","02","공립","N","","복식부기","예산세출","19410000","96041000","46441000","24295000","64950000","112969000","0","4000000"
"전라남도교육청","전라남도화순교육지원청","전라남도 화순군","S140002279","아산초등학교","02","공립","N","","복식부기","예산세출","18280000","102688000","74015000","29680000","48061000","105926000","0","1589000"
"전라남도교육청","전라남도화순교육지원청","전라남도 화순군","S140002282","화순초등학교이서분교장","02","공립","Y","본교와 예결산 통합운영하여 분리 입력 불가능, 본교에서 통합 공시","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도화순교육지원청","전라남도 화순군","S140002285","이양초등학교","02","공립","N","","복식부기","예산세출","9350000","58162000","61667000","24286000","53070000","91400000","0","1200000"
"전라남도교육청","전라남도화순교육지원청","전라남도 화순군","S140002288","천태초등학교","02","공립","N","","복식부기","예산세출","13960000","97205000","48368000","17660000","54154000","92976000","0","1722000"
"전라남도교육청","전라남도화순교육지원청","전라남도 화순군","S140002291","청풍초등학교","02","공립","N","","복식부기","예산세출","13200000","64537000","43017000","23210000","47100000","83645000","0","2180000"
"전라남도교육청","전라남도화순교육지원청","전라남도 화순군","S140002292","춘양초등학교","02","공립","N","","복식부기","예산세출","25600000","89905000","69798000","49760000","50600000","106912000","0","1780000"
"전라남도교육청","전라남도화순교육지원청","전라남도 화순군","S140002293","한천초등학교","02","공립","N","","복식부기","예산세출","11360000","44025000","69803000","17000000","39300000","91556000","0","1710000"
"전라남도교육청","전라남도화순교육지원청","전라남도 화순군","S140002294","화순만연초등학교","02","공립","N","","복식부기","예산세출","34770000","253849000","54462000","122662000","107315000","180906000","0","4001000"
"전라남도교육청","전라남도화순교육지원청","전라남도 화순군","S140002295","화순오성초등학교","02","공립","N","","복식부기","예산세출","25890000","183551000","79382000","42490000","58192000","224307000","0","3087000"
"전라남도교육청","전라남도화순교육지원청","전라남도 화순군","S140002296","화순제일초등학교","02","공립","N","","복식부기","예산세출","22725000","233883000","105951000","48664000","76360000","160946000","0","2861000"
"전라남도교육청","전라남도화순교육지원청","전라남도 화순군","S140002297","화순초등학교","02","공립","N","","복식부기","예산세출","57138000","481840000","233218000","188410000","112679000","403580000","0","5800000"
"전라남도교육청","전라남도진도교육지원청","전라남도 진도군","S140003256","의신초등학교접도분교장","02","공립","Y","본교에서 분교장 데이터 포함하여 통합 공시함.","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도진도교육지원청","전라남도 진도군","S140003262","의신초등학교모도분교장","02","공립","Y","본교에서 분교장 데이터 포함하여 통합 공시함.","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도무안교육지원청","전라남도 무안군","S140003272","일로초등학교청망분교장","02","공립","Y","본교 통합운영","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도순천교육지원청","전라남도 순천시","S140003279","송산초등학교","02","공립","N","","복식부기","예산세출","16634000","81661000","32732000","6238000","44891000","85276000","0","1544000"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140003453","소라초등학교소라남분교장","02","공립","Y","본교에서 분교장 데이터 포함하여 통합 공시","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140003455","안일초등학교백야분교장","02","공립","Y","본교에서 통합관리","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140003461","돌산초등학교두라분교장","02","공립","Y","본교에서 예결산을 통합 운영함","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도해남교육지원청","전라남도 해남군","S140003463","서정초등학교","02","공립","N","","복식부기","예산세출","14420000","58559000","30570000","12960000","49058000","82739000","0","1500000"
"전라남도교육청","전라남도고흥교육지원청","전라남도 고흥군","S140003468","녹동초등학교시산분교장","02","공립","Y","본교에서 분교장 데이터 포함하여 통합 공시","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도신안교육지원청","전라남도 신안군","S140003479","흑산초등학교흑산동분교장","02","공립","Y","학교회계 예결산을 본교에서 통합하여 운영함.","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도진도교육지원청","전라남도 진도군","S140003490","조도초등학교거차분교장","02","공립","Y","분교장 제외(본교 통합 공시 자료 등록)","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도진도교육지원청","전라남도 진도군","S140003492","진도서초등학교가사도분교장","02","공립","Y","분교이므로 본교에서 분교장 데이터 포함하여 통합 공시","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도영광교육지원청","전라남도 영광군","S140003499","묘량중앙초등학교","02","공립","N","","복식부기","예산세출","17590000","104280000","86717000","44853000","62200000","125412000","0","2620000"
"전라남도교육청","전라남도목포교육지원청","전라남도 목포시","S140003509","목포유달초등학교달리분교장","02","공립","Y","본교는 해당항목에 대해서 통계자료가 없으므로 제외함.","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140003675","소라초등학교사곡분교장","02","공립","Y","본교에서 분교장 데이터 포함하여 통합 공시","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140003678","율촌초등학교상봉분교장","02","공립","Y","본교에서 통합 관리","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도구례교육지원청","전라남도 구례군","S140003682","토지초등학교연곡분교장","02","공립","Y","본교 통합 공시","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도고흥교육지원청","전라남도 고흥군","S140003684","녹동초등학교소록도분교장","02","공립","Y","본교에서 분교장 데이터 포함하여 통합 공시","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도순천교육지원청","전라남도 순천시","S140003719","승주초등학교죽학분교장","02","공립","Y","본교와 통합하여 운영","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도순천교육지원청","전라남도 순천시","S140003720","황전북초등학교회덕분교장","02","공립","Y","본교에서 분교장 데이터 포함해서 통합공시","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140003923","율촌초등학교","02","공립","N","","복식부기","예산세출","22460000","267612000","98514000","22674000","74668000","114481000","0","2320000"
"전라남도교육청","전라남도해남교육지원청","전라남도 해남군","S140003926","마산초등학교용전분교장","02","공립","Y","본교 예산 내 편성으로 분교 제외","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도신안교육지원청","전라남도 신안군","S140003946","흑산초등학교홍도분교장","02","공립","Y","분교는 해당되지 않음","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도진도교육지원청","전라남도 진도군","S140003951","조도초등학교대마분교장","02","공립","Y","분교장 제외(본교 통합 공시 자료 등록)","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140003955","청산초등학교모도분교장","02","공립","Y","본교에서 통합관리 입력으로 제외함.","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140003962","넙도초등학교서리분교장","02","공립","Y","본교에서 통합공시","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140004138","신풍초등학교","02","공립","N","","복식부기","예산세출","16200000","54690000","72166000","20065000","46578000","107830000","27925000","1808000"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140004140","여남초등학교","02","공립","N","","복식부기","예산세출","19002000","81725000","124132000","82025000","42867000","239013000","15381000","3410000"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140004144","돌산초등학교월호분교장","02","공립","Y","본교에서 예결산을 통합 운영함","복식부기","","0","0","0","0","0","0","0","0"
"전라남도교육청","전라남도목포교육지원청","전라남도 목포시","S140004877","목포미항초등학교","02","공립","N","","복식부기","예산세출","20440000","211119000","121405000","248564000","78079000","148027000","0","2940000"
"전라남도교육청","전라남도목포교육지원청","전라남도 목포시","S140004878","목포서해초등학교","02","공립","N","","복식부기","예산세출","42206000","271417000","182353000","151540000","94028000","138750000","0","3888000"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140004879","신기초등학교","02","공립","N","","복식부기","예산세출","30870000","246905000","109689000","213918000","81163000","175528000","0","2700000"
"전라남도교육청","전라남도광양교육지원청","전라남도 광양시","S140004880","광양용강초등학교","02","공립","N","","복식부기","예산세출","38080000","322312000","198973000","282960000","90887000","211029000","0","3765000"
"전라남도교육청","전라남도광양교육지원청","전라남도 광양시","S140004881","광양칠성초등학교","02","공립","N","","복식부기","예산세출","39626000","358731000","241797000","171399000","123363000","165906000","0","3903000"
"전라남도교육청","전라남도순천교육지원청","전라남도 순천시","S140004891","순천향림초등학교","02","공립","N","","복식부기","예산세출","20570000","121265000","43624000","84180000","40675000","102851000","0","2013000"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140005247","안심초등학교","02","공립","N","","복식부기","예산세출","48490000","344620000","225156000","286282000","139799000","191678000","0","4290000"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140005248","동백초등학교","02","공립","N","","복식부기","예산세출","34060000","279665000","170912000","65949000","97041000","165697000","0","3820000"
"전라남도교육청","전라남도목포교육지원청","전라남도 목포시","S140005309","목포용해초등학교","02","공립","N","","복식부기","예산세출","44310000","384036000","237430000","190553000","213917000","203066000","0","4000000"
"전라남도교육청","전라남도목포교육지원청","전라남도 목포시","S140005310","목포항도초등학교","02","공립","N","","복식부기","예산세출","52700000","447356000","269491000","237400000","123693000","215347000","0","6414000"
"전라남도교육청","전라남도목포교육지원청","전라남도 목포시","S140005311","목포석현초등학교","02","공립","N","","복식부기","예산세출","52990000","503505000","288741000","283505000","147014000","211070000","0","5374000"
"전라남도교육청","전라남도광양교육지원청","전라남도 광양시","S140005328","광양백운초등학교","02","공립","N","","복식부기","예산세출","45910000","365360000","262771000","309929000","115928000","172995000","0","10903000"
"전라남도교육청","전라남도여수교육지원청","전라남도 여수시","S140005331","성산초등학교","02","공립","N","","복식부기","예산세출","20390000","138944000","73893000","69229000","54450000","124329000","0","1882000"
"전라남도교육청","전라남도목포교육지원청","전라남도 목포시","S140005341","목포애향초등학교","02","공립","N","","복식부기","예산세출","40860000","351852000","227530000","234970000","110200000","175616000","0","5000000"
"전라남도교육청","전라남도무안교육지원청","전라남도 무안군","S140005346","남악초등학교","02","공립","N","","복식부기","예산세출","58980000","478432000","200040000","31240000","133131000","227053000","0","4943000"
"전라남도교육청","전라남도순천교육지원청","전라남도 순천시","S140005348","순천풍덕초등학교","02","공립","N","","복식부기","예산세출","23390000","221358000","104597000","285526000","44200000","129174000","0","8990000"
"전라남도교육청","전라남도목포교육지원청","전라남도 목포시","S140005376","목포옥암초등학교","02","공립","N","","복식부기","예산세출","41142000","383889000","149960000","271062000","131263000","133568000","0","3521000"
"전라남도교육청","전라남도목포교육지원청","전라남도 목포시","S140005409","목포영산초등학교","02","공립","N","","복식부기","예산세출","37876000","359135000","170963000","188968000","131998000","189586000","0","4000000"
"전라남도교육청","전라남도무안교육지원청","전라남도 무안군","S140005416","오룡초등학교","02","공립","N","","복식부기","예산세출","71830000","629428000","315436000","26400000","142998000","279141000","0","6126000"
"전라남도교육청","전라남도나주교육지원청","전라남도 나주시","S140005418","한아름초등학교","02","공립","N","","복식부기","예산세출","48670000","309650000","135472000","183451000","109022000","159542000","0","3591000"
