"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","금전및 유가증권건수","금전및 유가증권금액","도서및 물품건수","도서및 물품금액","수목시설및 재산건수","수목시설및 재산금액","건수합계","금액합계","학교교육시설 보수확충금액","교육용기자재 및도서금액","학교체육학예 활동금액","학생복지및 자치활동지원금액","지출금액합계"
"경상남도교육청","창원교육지원청","경상남도 창원시 마산합포구","S160001416","월포초등학교","02","공립","N","","11","10400000","1","1000000","0","0","12","11400000","0","0","1000040","9400000","10400040"
"경상남도교육청","창원교육지원청","경상남도 창원시 마산회원구","S160001418","중리초등학교","02","공립","N","","8","2350000","0","0","0","0","8","2350000","0","0","0","2900000","2900000"
"경상남도교육청","창원교육지원청","경상남도 창원시 마산합포구","S160001420","진동초등학교","02","공립","N","","15","12000000","0","0","0","0","15","12000000","0","0","0","11800000","11800000"
"경상남도교육청","창원교육지원청","경상남도 창원시 마산합포구","S160001422","진전초등학교","02","공립","N","","11","5400000","0","0","0","0","11","5400000","9265000","0","0","5400000","14665000"
"경상남도교육청","창원교육지원청","경상남도 창원시 마산회원구","S160001426","팔룡초등학교","02","공립","N","","5","2500000","0","0","0","0","5","2500000","0","0","0","2500000","2500000"
"경상남도교육청","창원교육지원청","경상남도 창원시 마산합포구","S160001427","하북초등학교","02","공립","N","","13","3415580","0","0","0","0","13","3415580","0","0","0","3800000","3800000"
"경상남도교육청","창원교육지원청","경상남도 창원시 마산회원구","S160001429","합성초등학교","02","공립","N","","3","1500000","1","764900","0","0","4","2264900","0","0","0","1500000","1500000"
"경상남도교육청","창원교육지원청","경상남도 창원시 마산합포구","S160001430","합포초등학교","02","공립","N","","4","7784020","0","0","0","0","4","7784020","6084020","0","0","1700000","7784020"
"경상남도교육청","창원교육지원청","경상남도 창원시 마산합포구","S160001431","해운초등학교","02","공립","N","","3","1100000","1","1000000","0","0","4","2100000","0","0","0","1600000","1600000"
"경상남도교육청","창원교육지원청","경상남도 창원시 마산합포구","S160001432","현동초등학교","02","공립","N","","8","4650000","0","0","0","0","8","4650000","150086530","1000000","0","3650000","154736530"
"경상남도교육청","창원교육지원청","경상남도 창원시 마산회원구","S160001433","회원초등학교","02","공립","N","","36","66761000","1","764900","0","0","37","67525900","25190210","0","0","19560270","44750480"
"경상남도교육청","밀양교육지원청","경상남도 밀양시","S160001497","무안초등학교","02","공립","N","","11","3200000","0","0","0","0","11","3200000","0","0","0","3000000","3000000"
