"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교과프로그램수","교과수강학생수","특기적성프로그램수","특기적성수강학생수","프로그램수(계)","수강학생수(계)","방과후학교참여학생수","초등돌봄교실 오후돌봄운영교실수","초등돌봄교실 오후돌봄참여학생수","초등돌봄교실 저녁돌봄운영교실수","초등돌봄교실 저녁돌봄참여학생수","초등돌봄교실방과후학교 연계형돌봄운영교실수","초등돌봄교실방과후학교 연계형돌봄참여학생수","특수학교종일반 학급수","특수학교종일반 참여학생수","방과후학교 수익자부담금액","방과후학교 수익자부담외지원금액","초등돌봄교실 수익자부담금액","초등돌봄교실 수익자부담외지원금액"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000783","서울잠원초등학교","02","공립","N","","0","0","0","0","0","0","0","3","64","0","0","0","0","0","0","37950210","10550000","0","27905000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000784","서울청담초등학교","02","공립","N","","0","0","0","0","0","0","0","1","25","0","0","0","0","0","0","400052270","26565000","14895200","12000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000785","서울포이초등학교","02","공립","N","","0","0","0","0","0","0","0","4","72","1","9","1","15","0","0","265313600","36436780","24894000","38933400"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000786","서울학동초등학교","02","공립","N","","0","0","0","0","0","0","0","3","70","1","5","1","25","0","0","384622860","45620060","27883200","3681800"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000897","서울가동초등학교","02","공립","N","","0","0","0","0","0","0","0","4","95","0","0","1","12","0","0","369882860","24800700","23728000","115252460"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000898","서울가락초등학교","02","공립","N","","0","0","0","0","0","0","0","2","50","0","0","0","0","0","0","830231780","780000","24785000","0"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000899","서울가원초등학교","02","공립","N","","0","0","0","0","0","0","0","2","32","1","2","0","0","0","0","358582720","7931400","14504000","70132870"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000900","서울가주초등학교","02","공립","N","","0","0","0","0","0","0","0","3","75","0","0","0","0","0","0","332117990","7832480","31797500","619500"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000901","서울강덕초등학교","02","공립","N","","0","0","0","0","0","0","0","2","40","3","3","2","45","0","0","17164000","1900000","5737000","79895000"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000902","서울강동초등학교","02","공립","N","","0","0","0","0","0","0","0","4","42","1","4","0","0","0","0","281880140","44129930","36556400","7239500"
